,User_id,Username,Recommend_Algo,Round_of_Recommendation,Movie_id,Rate_of_user
0,1,z,,1st_round,987,2
1,1,z,,1st_round,993,3
2,1,z,,1st_round,996,3
3,2,唐,,1st_round,97,3
4,2,唐,,1st_round,99,2
5,2,唐,,1st_round,972,1
6,2,唐,,1st_round,974,4
7,2,唐,,1st_round,982,4
8,2,唐,,1st_round,995,4
9,3,a,,1st_round,990,2
10,3,a,,1st_round,991,5
11,3,a,,1st_round,993,3
12,4,b,,1st_round,991,3
13,4,b,,1st_round,993,2
14,4,b,,1st_round,998,2
15,5,m,,1st_round,996,5
16,5,m,,1st_round,999,3
17,6,l,,1st_round,991,3
18,6,l,,1st_round,993,3
19,7,fff,,1st_round,922,5
20,7,fff,,1st_round,952,3
21,8,fffff,,1st_round,924,5
22,8,fffff,,1st_round,928,4
23,9,cccccc,,1st_round,991,4
24,9,cccccc,,1st_round,993,4
25,10,方法,,1st_round,991,2
26,10,方法,,1st_round,994,3
27,11,ttt,,1st_round,8957,4
28,11,ttt,,1st_round,8961,3
29,12,bb,,1st_round,7438,4
30,12,bb,,1st_round,7842,4
31,13,lll,,1st_round,973,2
32,13,lll,,1st_round,986,4
33,14,mmmm,,1st_round,968,2
34,14,mmmm,,1st_round,994,3
35,15,lll====ooo,,1st_round,990,2
36,15,lll====ooo,,1st_round,993,3
37,16,ooo,,1st_round,973,3
38,16,ooo,,1st_round,986,4
39,17,vvvvv,,1st_round,965,3
40,17,vvvvv,,1st_round,973,2
41,18,zzz,,1st_round,999,2
42,19,ppp,,1st_round,954,3
43,19,ppp,,1st_round,968,3
44,20,ppp,,1st_round,954,3
45,20,ppp,,1st_round,965,3
46,20,ppp,,1st_round,968,3
47,21,oooa,,1st_round,6934,3
48,21,oooa,,1st_round,8361,3
49,22,qq,,1st_round,924,2
50,22,qq,,1st_round,953,3
51,23,bbbbb,,1st_round,969,2
52,23,bbbbb,,1st_round,994,4
53,24,ooou,,1st_round,968,2
54,24,ooou,,1st_round,973,3
55,25,HGGG,,1st_round,986,5
56,26,啊,,1st_round,8961,5
57,27,是从v,,1st_round,996,4
